Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
ihis;11-anonymity;false;true;25;0.805773871;444716080;34
ihis;11-anonymity;true;true;25;0.935651263;647768056;24
ihis;11-anonymity;false;true;26;0.805758223;469442912;29
ihis;11-anonymity;true;true;26;0.936840133;672225632;24
ihis;11-anonymity;false;true;27;0.805498614;462125312;24
ihis;11-anonymity;true;true;27;0.935305732;646214736;25
ihis;11-anonymity;false;true;28;0.805242561;473561376;31
ihis;11-anonymity;true;true;28;0.935298072;650698008;24
ihis;11-anonymity;false;true;29;0.805160055;457892024;31
ihis;11-anonymity;true;true;29;0.935731681;652555888;25
ihis;11-anonymity;false;true;30;0.805243272;473969960;23
ihis;11-anonymity;true;true;30;0.935857879;656382552;25
ihis;11-anonymity;false;true;31;0.805278124;487826752;25
ihis;11-anonymity;true;true;31;0.935200508;667017672;25
ihis;11-anonymity;false;true;32;0.805307286;494795040;36
ihis;11-anonymity;true;true;32;0.935422824;636252928;26
ihis;11-anonymity;false;true;33;0.804887644;481042416;28
ihis;11-anonymity;true;true;33;0.93491373;650713176;23
ihis;11-anonymity;false;true;34;0.805250385;494226032;29
ihis;11-anonymity;true;true;34;0.935944281;645628256;24
ihis;11-anonymity;false;true;35;0.804923918;504639424;30
ihis;11-anonymity;true;true;35;0.935323241;633155792;27
ihis;11-anonymity;false;true;36;0.804441685;503893336;24
ihis;11-anonymity;true;true;36;0.934943767;654244704;28
ihis;11-anonymity;false;true;37;0.805093908;485874136;26
ihis;11-anonymity;true;true;37;0.935503369;649422592;25
ihis;11-anonymity;false;true;38;0.804893334;512480952;28
ihis;11-anonymity;true;true;38;0.935751792;666809840;26
ihis;11-anonymity;false;true;39;0.804532726;516830752;23
ihis;11-anonymity;true;true;39;0.935263727;653888072;26
ihis;11-anonymity;false;true;40;0.804665731;505242696;33
ihis;11-anonymity;true;true;40;0.935737315;647304504;24
ihis;11-anonymity;false;true;41;0.804592472;514930736;23
ihis;11-anonymity;true;true;41;0.935430377;641127496;25
ihis;11-anonymity;false;true;42;0.804258181;513167536;28
ihis;11-anonymity;true;true;42;0.935153544;641188184;27
ihis;11-anonymity;false;true;43;0.804367714;538758760;31
ihis;11-anonymity;true;true;43;0.934801291;650080096;25
ihis;11-anonymity;false;true;44;0.804377672;489359720;31
ihis;11-anonymity;true;true;44;0.935258591;641951624;26
ihis;11-anonymity;false;true;45;0.804045515;501249368;29
ihis;11-anonymity;true;true;45;0.935332506;649824016;24
ihis;11-anonymity;false;true;46;0.804539127;533661704;21
ihis;11-anonymity;true;true;46;0.935454072;661056256;29
ihis;11-anonymity;false;true;47;0.80434851;551818664;28
ihis;11-anonymity;true;true;47;0.935103357;681166376;26
ihis;11-anonymity;false;true;48;0.803921044;560665512;22
ihis;11-anonymity;true;true;48;0.934708221;648685032;25
ihis;11-anonymity;false;true;49;0.803861299;699322728;21
ihis;11-anonymity;true;true;49;0.9356349;668223200;30
ihis;11-anonymity;false;true;50;0.804268849;550624296;32
ihis;11-anonymity;true;true;50;0.935316457;697050552;23
ihis;11-anonymity;false;true;51;0.804021332;551998064;26
ihis;11-anonymity;true;true;51;0.934960209;649870848;24
ihis;11-anonymity;false;true;52;0.803852764;567727864;26
ihis;11-anonymity;true;true;52;0.934726915;656523048;25
ihis;11-anonymity;false;true;53;0.803913221;567516056;27
ihis;11-anonymity;true;true;53;0.935166897;637416800;27
ihis;11-anonymity;false;true;54;0.803475797;564418664;27
ihis;11-anonymity;true;true;54;0.935173412;644847992;25
ihis;11-anonymity;false;true;55;0.803627295;579349344;27
ihis;11-anonymity;true;true;55;0.935271525;652788200;27
ihis;11-anonymity;false;true;56;0.803449481;539638832;28
ihis;11-anonymity;true;true;56;0.935147361;648516528;26
ihis;11-anonymity;false;true;57;0.803466551;765949640;24
ihis;11-anonymity;true;true;57;0.934978511;661294224;27
ihis;11-anonymity;false;true;58;0.803583908;575998752;20
ihis;11-anonymity;true;true;58;0.934956219;679439952;27
ihis;11-anonymity;false;true;59;0.80316071;582256592;29
ihis;11-anonymity;true;true;59;0.935269551;658608432;29
ihis;11-anonymity;false;true;60;0.80313226;574134984;20
ihis;11-anonymity;true;true;60;0.9352236;657310848;25
ihis;11-anonymity;false;true;61;0.803408228;549659496;24
ihis;11-anonymity;true;true;61;0.934529656;649576456;24
ihis;11-anonymity;false;true;62;0.803282335;558334608;23
ihis;11-anonymity;true;true;62;0.934658664;701461840;25
ihis;11-anonymity;false;true;63;0.803068958;578954816;26
ihis;11-anonymity;true;true;63;0.934988402;665810824;29
ihis;11-anonymity;false;true;64;0.803443791;580601584;23
ihis;11-anonymity;true;true;64;0.934792249;663427008;24
ihis;distinct-3-diversity;false;true;1;0.942331887;491986992;39
ihis;distinct-3-diversity;true;true;1;0.976624946;534498176;28
ihis;distinct-3-diversity;false;true;2;0.936098775;549660000;28
ihis;distinct-3-diversity;true;true;2;0.975080851;625788384;18
ihis;distinct-3-diversity;false;true;3;0.936869518;473411880;20
ihis;distinct-3-diversity;true;true;3;0.977567179;533816480;22
ihis;distinct-3-diversity;false;true;4;0.933905993;534975072;22
ihis;distinct-3-diversity;true;true;4;0.977786913;604918160;22
ihis;distinct-3-diversity;false;true;5;0.929802837;539340672;22
ihis;distinct-3-diversity;true;true;5;0.975672823;591094112;26
ihis;distinct-3-diversity;false;true;6;0.926932752;457150336;21
ihis;distinct-3-diversity;true;true;6;0.974835399;499992736;23
ihis;distinct-3-diversity;false;true;7;0.925352115;455144696;21
ihis;distinct-3-diversity;true;true;7;0.97593118;494584872;22
ihis;distinct-3-diversity;false;true;8;0.924205814;451267304;28
ihis;distinct-3-diversity;true;true;8;0.97466482;486492592;25
ihis;distinct-3-diversity;false;true;9;0.922072312;450239600;33
ihis;distinct-3-diversity;true;true;9;0.974712686;503048576;23
ihis;distinct-3-diversity;false;true;10;0.919928469;455799144;15
ihis;distinct-3-diversity;true;true;10;0.972611273;481714152;29
ihis;distinct-3-diversity;false;true;11;0.919631111;470722792;25
ihis;distinct-3-diversity;true;true;11;0.971680879;481248016;26
ihis;distinct-3-diversity;false;true;12;0.919395863;467096112;23
ihis;distinct-3-diversity;true;true;12;0.971415616;492754600;31
ihis;distinct-3-diversity;false;true;13;0.919662318;468488432;33
ihis;distinct-3-diversity;true;true;13;0.971581484;497403408;22
ihis;distinct-3-diversity;false;true;14;0.91948068;473296904;16
ihis;distinct-3-diversity;true;true;14;0.972373551;490796224;26
ihis;distinct-3-diversity;false;true;15;0.919500685;468132840;24
ihis;distinct-3-diversity;true;true;15;0.971039969;502061920;28
ihis;distinct-3-diversity;false;true;16;0.919405465;469065016;14
ihis;distinct-3-diversity;true;true;16;0.971377589;509764152;32
ihis;distinct-3-diversity;false;true;17;0.919470278;468284712;24
ihis;distinct-3-diversity;true;true;17;0.971569757;501515416;28
ihis;distinct-3-diversity;false;true;18;0.919063795;468498328;23
ihis;distinct-3-diversity;true;true;18;0.970692629;503812408;40
ihis;distinct-3-diversity;false;true;19;0.919359055;459473344;21
ihis;distinct-3-diversity;true;true;19;0.971528714;498753272;42
ihis;distinct-3-diversity;false;true;20;0.918980577;468176960;29
ihis;distinct-3-diversity;true;true;20;0.971388863;497107584;27
ihis;distinct-3-diversity;false;true;21;0.91923583;470904312;23
ihis;distinct-3-diversity;true;true;21;0.971328673;500983976;25
ihis;distinct-3-diversity;false;true;22;0.919026187;460881744;25
ihis;distinct-3-diversity;true;true;22;0.970710795;504067056;30
ihis;distinct-3-diversity;false;true;23;0.919050192;460742616;27
ihis;distinct-3-diversity;true;true;23;0.97101345;516897312;29
ihis;distinct-3-diversity;false;true;24;0.918786137;466490784;22
ihis;distinct-3-diversity;true;true;24;0.971059379;506753480;32
ihis;distinct-3-diversity;false;true;25;0.919100602;465108120;24
ihis;distinct-3-diversity;true;true;25;0.970862267;514418912;23
ihis;distinct-3-diversity;false;true;26;0.919019785;472633208;32
ihis;distinct-3-diversity;true;true;26;0.971239954;505512496;27
ihis;distinct-3-diversity;false;true;27;0.918883757;480073728;29
ihis;distinct-3-diversity;true;true;27;0.971357259;505439664;25
ihis;distinct-3-diversity;false;true;28;0.918599699;475083424;28
ihis;distinct-3-diversity;true;true;28;0.971538743;506771816;32
ihis;distinct-3-diversity;false;true;29;0.918562091;474911920;26
ihis;distinct-3-diversity;true;true;29;0.971366262;507959488;33
ihis;distinct-3-diversity;false;true;30;0.91870292;482056656;23
ihis;distinct-3-diversity;true;true;30;0.97122146;504929344;30
ihis;distinct-3-diversity;false;true;31;0.918668513;471543528;32
ihis;distinct-3-diversity;true;true;31;0.971155236;507849288;31
ihis;distinct-3-diversity;false;true;32;0.918628505;496266512;28
ihis;distinct-3-diversity;true;true;32;0.9718693;499038656;32
ihis;distinct-3-diversity;false;true;33;0.918404459;470734424;22
ihis;distinct-3-diversity;true;true;33;0.971648869;517539136;33
ihis;distinct-3-diversity;false;true;34;0.918592497;495352152;21
ihis;distinct-3-diversity;true;true;34;0.970746809;500413648;29
ihis;distinct-3-diversity;false;true;35;0.918446067;488292360;27
ihis;distinct-3-diversity;true;true;35;0.970953519;504211808;30
ihis;distinct-3-diversity;false;true;36;0.917862747;486791016;22
ihis;distinct-3-diversity;true;true;36;0.971798262;504972560;33
ihis;distinct-3-diversity;false;true;37;0.918398857;500225960;28
ihis;distinct-3-diversity;true;true;37;0.971040057;520033296;33
ihis;distinct-3-diversity;false;true;38;0.91816761;472990776;28
ihis;distinct-3-diversity;true;true;38;0.971685363;501837160;35
ihis;distinct-3-diversity;false;true;39;0.918047585;483395704;30
ihis;distinct-3-diversity;true;true;39;0.971101371;505101224;33
ihis;distinct-3-diversity;false;true;40;0.917999575;490459744;26
ihis;distinct-3-diversity;true;true;40;0.971296502;511966904;32
ihis;distinct-3-diversity;false;true;41;0.918047585;478763032;26
ihis;distinct-3-diversity;true;true;41;0.971027075;506737040;34
ihis;distinct-3-diversity;false;true;42;0.917749124;490723912;33
ihis;distinct-3-diversity;true;true;42;0.971209044;507646776;32
ihis;distinct-3-diversity;false;true;43;0.917821939;475227160;28
ihis;distinct-3-diversity;true;true;43;0.971798187;529697432;29
ihis;distinct-3-diversity;false;true;44;0.917869148;481098104;22
ihis;distinct-3-diversity;true;true;44;0.971571001;512233432;33
ihis;distinct-3-diversity;false;true;45;0.917669107;482522984;26
ihis;distinct-3-diversity;true;true;45;0.970734022;513070752;34
ihis;distinct-3-diversity;false;true;46;0.917805935;504481432;30
ihis;distinct-3-diversity;true;true;46;0.971441211;528738848;31
ihis;distinct-3-diversity;false;true;47;0.917689111;479981288;24
ihis;distinct-3-diversity;true;true;47;0.971313448;504285680;34
ihis;distinct-3-diversity;false;true;48;0.917455463;484801312;27
ihis;distinct-3-diversity;true;true;48;0.971133342;511161880;31
ihis;distinct-3-diversity;false;true;49;0.917549883;477954168;34
ihis;distinct-3-diversity;true;true;49;0.97073807;513428920;35
ihis;distinct-3-diversity;false;true;50;0.917759526;479481904;29
ihis;distinct-3-diversity;true;true;50;0.970820645;506124248;34
ihis;distinct-3-diversity;false;true;51;0.917560285;491790960;26
ihis;distinct-3-diversity;true;true;51;0.971246164;503727312;31
ihis;distinct-3-diversity;false;true;52;0.917383448;484096872;31
ihis;distinct-3-diversity;true;true;52;0.970883108;508995464;34
ihis;distinct-3-diversity;false;true;53;0.917473067;484472456;23
ihis;distinct-3-diversity;true;true;53;0.971061196;511668400;34
ihis;distinct-3-diversity;false;true;54;0.91719861;481814728;26
ihis;distinct-3-diversity;true;true;54;0.97115274;506347056;35
ihis;distinct-3-diversity;false;true;55;0.917211413;488386480;34
ihis;distinct-3-diversity;true;true;55;0.97078423;519309728;29
ihis;distinct-3-diversity;false;true;56;0.916958561;486618776;34
ihis;distinct-3-diversity;true;true;56;0.971383134;510064088;34
ihis;distinct-3-diversity;false;true;57;0.91695296;498526912;36
ihis;distinct-3-diversity;true;true;57;0.970830241;511666808;30
ihis;distinct-3-diversity;false;true;58;0.91705058;507463536;27
ihis;distinct-3-diversity;true;true;58;0.970660076;511151904;35
ihis;distinct-3-diversity;false;true;59;0.916888946;491162376;29
ihis;distinct-3-diversity;true;true;59;0.970691194;516438296;36
ihis;distinct-3-diversity;false;true;60;0.916800128;483164552;29
ihis;distinct-3-diversity;true;true;60;0.970499227;508200704;36
ihis;distinct-3-diversity;false;true;61;0.917048979;487763200;35
ihis;distinct-3-diversity;true;true;61;0.97106738;515342056;32
ihis;distinct-3-diversity;false;true;62;0.916937756;498407368;29
ihis;distinct-3-diversity;true;true;62;0.970565396;511731536;39
ihis;distinct-3-diversity;false;true;63;0.916755319;488717272;31
ihis;distinct-3-diversity;true;true;63;0.970695225;525417304;37
ihis;distinct-3-diversity;false;true;64;0.917058581;485832144;31
ihis;distinct-3-diversity;true;true;64;0.970695505;524653720;33
ihis;distinct-5-diversity;false;true;1;0.923070146;554708152;41
ihis;distinct-5-diversity;true;true;1;0.97867189;620880128;51
ihis;distinct-5-diversity;false;true;2;0.917458532;617032712;33
ihis;distinct-5-diversity;true;true;2;0.974679344;696568600;21
ihis;distinct-5-diversity;false;true;3;0.916647871;526116072;22
ihis;distinct-5-diversity;true;true;3;0.971461202;633498456;22
ihis;distinct-5-diversity;false;true;4;0.91264656;603622056;23
ihis;distinct-5-diversity;true;true;4;0.970673108;692616016;21
ihis;distinct-5-diversity;false;true;5;0.907098022;579937000;21
ihis;distinct-5-diversity;true;true;5;0.969878014;619982800;14
ihis;distinct-5-diversity;false;true;6;0.902952727;499564312;20
ihis;distinct-5-diversity;true;true;6;0.966667852;543066992;14
ihis;distinct-5-diversity;false;true;7;0.899612468;504734880;21
ihis;distinct-5-diversity;true;true;7;0.964179639;563677984;23
ihis;distinct-5-diversity;false;true;8;0.897593516;512405752;25
ihis;distinct-5-diversity;true;true;8;0.962916382;570270136;25
ihis;distinct-5-diversity;false;true;9;0.893524588;518321264;31
ihis;distinct-5-diversity;true;true;9;0.960235367;556705832;23
ihis;distinct-5-diversity;false;true;10;0.890121485;516906648;17
ihis;distinct-5-diversity;true;true;10;0.959310167;558258128;20
ihis;distinct-5-diversity;false;true;11;0.887321363;528841680;30
ihis;distinct-5-diversity;true;true;11;0.959839004;558539016;17
ihis;distinct-5-diversity;false;true;12;0.884811936;537319048;19
ihis;distinct-5-diversity;true;true;12;0.958724975;551323976;20
ihis;distinct-5-diversity;false;true;13;0.885091194;556241984;22
ihis;distinct-5-diversity;true;true;13;0.958610726;585461968;24
ihis;distinct-5-diversity;false;true;14;0.884806335;553947488;17
ihis;distinct-5-diversity;true;true;14;0.958466391;561869352;25
ihis;distinct-5-diversity;false;true;15;0.884839142;549722600;25
ihis;distinct-5-diversity;true;true;15;0.95871639;549053416;21
ihis;distinct-5-diversity;false;true;16;0.884713516;539037232;30
ihis;distinct-5-diversity;true;true;16;0.958325458;576311512;24
ihis;distinct-5-diversity;false;true;17;0.884867147;561411392;28
ihis;distinct-5-diversity;true;true;17;0.958291335;579635968;26
ihis;distinct-5-diversity;false;true;18;0.884186207;540314136;20
ihis;distinct-5-diversity;true;true;18;0.958414965;563062280;23
ihis;distinct-5-diversity;false;true;19;0.884744722;549018864;23
ihis;distinct-5-diversity;true;true;19;0.957772125;583719056;24
ihis;distinct-5-diversity;false;true;20;0.884134997;545718776;24
ihis;distinct-5-diversity;true;true;20;0.958693002;581003544;22
ihis;distinct-5-diversity;false;true;21;0.884479068;578966792;19
ihis;distinct-5-diversity;true;true;21;0.958108416;568957408;26
ihis;distinct-5-diversity;false;true;22;0.884042177;563414392;24
ihis;distinct-5-diversity;true;true;22;0.958495747;575043344;27
ihis;distinct-5-diversity;false;true;23;0.88410299;557449776;19
ihis;distinct-5-diversity;true;true;23;0.95799618;563416984;33
ihis;distinct-5-diversity;false;true;24;0.883875743;563257896;21
ihis;distinct-5-diversity;true;true;24;0.958064263;581500048;30
ihis;distinct-5-diversity;false;true;25;0.884124594;569937584;23
ihis;distinct-5-diversity;true;true;25;0.957834322;584767680;28
ihis;distinct-5-diversity;false;true;26;0.884086187;560106056;22
ihis;distinct-5-diversity;true;true;26;0.957756172;588608072;27
ihis;distinct-5-diversity;false;true;27;0.883777323;573103176;20
ihis;distinct-5-diversity;true;true;27;0.957894158;596004128;33
ihis;distinct-5-diversity;false;true;28;0.883394844;564709712;23
ihis;distinct-5-diversity;true;true;28;0.957327486;568438392;25
ihis;distinct-5-diversity;false;true;29;0.883298024;579731888;28
ihis;distinct-5-diversity;true;true;29;0.958083792;591181872;29
ihis;distinct-5-diversity;false;true;30;0.883571681;577883040;27
ihis;distinct-5-diversity;true;true;30;0.957562549;576734448;32
ihis;distinct-5-diversity;false;true;31;0.883395644;569855016;18
ihis;distinct-5-diversity;true;true;31;0.957746758;593011552;27
ihis;distinct-5-diversity;false;true;32;0.883301225;573413248;32
ihis;distinct-5-diversity;true;true;32;0.958076583;601697064;31
ihis;distinct-5-diversity;false;true;33;0.882941151;564340064;30
ihis;distinct-5-diversity;true;true;33;0.957631548;605728960;28
ihis;distinct-5-diversity;false;true;34;0.883297224;566364024;24
ihis;distinct-5-diversity;true;true;34;0.957374627;603602848;27
ihis;distinct-5-diversity;false;true;35;0.882929148;565117656;24
