Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
ihis;11-anonymity;true;true;43;0.934801291;11341.66667;2933.333333;7770;4079.666667;0;0;0;638.3333333;0
ihis;11-anonymity;false;true;44;0.804377672;20377.66667;2930.666667;16882.33333;12986.66667;207;0;0;564.6666667;0
ihis;11-anonymity;true;true;44;0.935258591;11409;2933.666667;7840.666667;4147;0;0;0;634.6666667;0
ihis;11-anonymity;false;true;45;0.804045515;21278.33333;2937.333333;17773.66667;13861;207;0;0;567.3333333;0
ihis;11-anonymity;true;true;45;0.935332506;11786.66667;2954;8196.666667;4482;0;0;0;636;0
ihis;11-anonymity;false;true;46;0.804539127;21041.66667;2942.333333;17531.66667;13601.33333;209.3333333;0;0;567.6666667;0
ihis;11-anonymity;true;true;46;0.935454072;11544.33333;2934.333333;7976;4284.333333;0;0;0;634;0
ihis;11-anonymity;false;true;47;0.80434851;21218.33333;2932.666667;17719.66667;13822;207.3333333;0;0;566;0
ihis;11-anonymity;true;true;47;0.935103357;11216.33333;2939;7630.333333;3909.333333;0;0;0;647;0
ihis;11-anonymity;false;true;48;0.803921044;19926;2947;16409;12464.33333;207.3333333;0;0;570;0
ihis;11-anonymity;true;true;48;0.934708221;11348.66667;2937.666667;7766.333333;4046;0;0;0;644.6666667;0
ihis;11-anonymity;false;true;49;0.803861299;20487.66667;2932;16990.33333;13089.33333;207.6666667;0;0;565.3333333;0
ihis;11-anonymity;true;true;49;0.9356349;11238.66667;2932.333333;7667.666667;3979;0;0;0;638.6666667;0
ihis;11-anonymity;false;true;50;0.804268849;20266.66667;2933.666667;16766.33333;12857;207.6666667;0;0;566.6666667;0
ihis;11-anonymity;true;true;50;0.935316457;10936;2946.666667;7355;3650.333333;0;0;0;634.3333333;0
ihis;11-anonymity;false;true;51;0.804021332;20384;2944.666667;16873.66667;12965.66667;208.3333333;0;0;565.6666667;0
ihis;11-anonymity;true;true;51;0.934960209;10976.66667;2932.333333;7407.666667;3712.333333;0;0;0;636.6666667;0
